id,height,area,mz,rt,fermo:active,fermo:samples,fermo:samples:count,fermo:isblank,fermo:annotation:adducts,fermo:annotation:neutral_losses,fermo:annotation:fragments
1,17000,2500,268.9976,1.88,true,5425_5426_mod.mzXML|5434_5433_mod.mzXML|5446_5445_mod.mzXML|5458_5457_mod.mzXML|5444_5443_mod.mzXML|D3_H3_mod.mzXML|5440_5439_mod.mzXML|5432_5431_mod2.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,10,,,,
2,9600,1300,284.9716,1.93,true,5425_5426_mod.mzXML|5434_5433_mod.mzXML|5446_5445_mod.mzXML|5458_5457_mod.mzXML|5444_5443_mod.mzXML|D3_H3_mod.mzXML|5440_5439_mod.mzXML|5432_5431_mod2.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,10,,,,
3,40000,8500,247.1276,3.57,true,5425_5426_mod.mzXML|5434_5433_mod.mzXML|5446_5445_mod.mzXML|5458_5457_mod.mzXML|5444_5443_mod.mzXML|5440_5439_mod.mzXML|5432_5431_mod2.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,9,,[M+3+H]+(partner_ID=34;adduct=[M+H]+;m/z=244.1161),,
4,58000,9500,261.1439,5.57,true,5425_5426_mod.mzXML|5434_5433_mod.mzXML|5446_5445_mod.mzXML|5458_5457_mod.mzXML|5444_5443_mod.mzXML|5450_5449_mod.mzXML|5440_5439_mod.mzXML|5432_5431_mod2.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,10,,[M+NH4]+(partner_ID=36;adduct=[M+H]+;m/z=244.1163),,
5,20000,3600,423.1959,5.82,true,5458_5457_mod.mzXML|5434_5433_mod.mzXML|5440_5439_mod.mzXML|5432_5431_mod2.mzXML,4,,,,
6,70000,15000,261.1445,5.86,true,5425_5426_mod.mzXML|5434_5433_mod.mzXML|5446_5445_mod.mzXML|5458_5457_mod.mzXML|5444_5443_mod.mzXML|5440_5439_mod.mzXML|5432_5431_mod2.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,9,,[M+NH4]+(partner_ID=37;adduct=[M+H]+;m/z=244.1164),,
7,49000,7400,295.1282,6.34,true,5425_5426_mod.mzXML|5434_5433_mod.mzXML|5446_5445_mod.mzXML|5458_5457_mod.mzXML|5444_5443_mod.mzXML|5440_5439_mod.mzXML|5432_5431_mod2.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,9,,,,
8,60000,8700,506.2034,6.47,true,5440_5439_mod.mzXML|5432_5431_mod2.mzXML,2,,,,
9,85000,16000,364.1614,6.57,true,5450_5449_mod.mzXML|5434_5433_mod.mzXML|5440_5439_mod.mzXML|5432_5431_mod2.mzXML,4,,,,
10,13000,3100,190.0481,7.78,true,5440_5439_mod.mzXML|5432_5431_mod2.mzXML,2,,,,
11,7000,1100,194.1156,8.19,true,5440_5439_mod.mzXML|5432_5431_mod2.mzXML,2,,,,
12,110000,24000,596.3193,9.11,true,5450_5449_mod.mzXML|5434_5433_mod.mzXML|5440_5439_mod.mzXML|5432_5431_mod2.mzXML,4,,,,
13,110000,44000,610.3346,9.55,true,5450_5449_mod.mzXML|5434_5433_mod.mzXML|5440_5439_mod.mzXML|5432_5431_mod2.mzXML,4,,[M+H2O+H]+(partner_ID=70;adduct=[M+H]+;m/z=592.3234)|[M+2H]2+(partner_ID=73;adduct=[2M+H]+;m/z=1219.6579),,
14,38000,5600,596.3175,9.66,true,5450_5449_mod.mzXML|5434_5433_mod.mzXML|5440_5439_mod.mzXML|5432_5431_mod2.mzXML,4,,,,
15,94000,21000,610.334,10.11,true,5450_5449_mod.mzXML|5434_5433_mod.mzXML|5440_5439_mod.mzXML|5432_5431_mod2.mzXML,4,,,,
16,55000,11000,255.0638,10.78,true,5425_5426_mod.mzXML|5434_5433_mod.mzXML|5446_5445_mod.mzXML|5458_5457_mod.mzXML|5444_5443_mod.mzXML|5450_5449_mod.mzXML|D3_H3_mod.mzXML|5440_5439_mod.mzXML|5432_5431_mod2.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,11,,,,
17,14000,3600,285.0751,10.87,true,5425_5426_mod.mzXML|5434_5433_mod.mzXML|5458_5457_mod.mzXML|5444_5443_mod.mzXML|5450_5449_mod.mzXML|5440_5439_mod.mzXML|5432_5431_mod2.mzXML|5452_5451_mod.mzXML,8,,,,
18,11000,1600,959.5185,12.34,true,5425_5426_mod.mzXML|5434_5433_mod.mzXML|5446_5445_mod.mzXML|5458_5457_mod.mzXML|5444_5443_mod.mzXML|D3_H3_mod.mzXML|5440_5439_mod.mzXML|5432_5431_mod2.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,10,,,,
19,28000,5000,271.0597,12.38,true,5434_5433_mod.mzXML|5446_5445_mod.mzXML|5450_5449_mod.mzXML|5440_5439_mod.mzXML|5432_5431_mod2.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,7,,,,
20,57000,15000,943.5243,12.58,true,5425_5426_mod.mzXML|5434_5433_mod.mzXML|5446_5445_mod.mzXML|5458_5457_mod.mzXML|5444_5443_mod.mzXML|5450_5449_mod.mzXML|D3_H3_mod.mzXML|5440_5439_mod.mzXML|5432_5431_mod2.mzXML|5456_5455_mod.mzXML|5452_5451_mod.mzXML,11,,,,
